Place_Id,Place_Name,Category,Rating,Content
11,Pulau Bidadari,Bahari,4.6,pulau bidadari rupa salah satu resor kabupaten pulau ribu jakarta nama pulau bidadari pulau milik nama pulau sakit pulau purmerend bahari
12,Pulau Pari,Bahari,4.0,pulau pari buah pulau letak pulau ribu daerah khusus ibukota jakarta indonesia bahari
13,Pulau Pramuka,Bahari,4.2,pulau pramuka rupa salah satu pulau gugus pulau ribu pulau rupa pusat administrasi perintah kabupaten administrasi pulau ribu pulau pramuka masuk wilayah lurah pulau panggang bahari
14,Pulau Pelangi,Bahari,4.8,pulau pelangi buah pulau letak pulau ribu daerah khusus ibukota jakarta indonesia pulau pelangi buah pulau letak pulau ribu daerah khusus ibukota jakarta indonesia pulau pelangi biasa sebut pulau petondan besar pelangi island rupa pulau resort sesuai libur pulau resort punya konsep natural wilayah penuh rimbun pohon sejuk mata indah alam laut layak kunjung keliling rimbun pohon laut berwarana biru jernih buat suasanan sejuk nyaman kondisi ideal wisata sama keluarga akomodasi langsung hadap laut buat turis betah lama pulau pelangi nmenurut informasi pulau pelangi pulau petondan besar rupa pulau gugus pulau ribu cara administratif masuk wilayah kabupaten administratif pulau ribu provinsi dki jakarta sama pulau petondan kecil rupa buah resort libur letak dekat gugus sama pulau kelor pulau kelapa nuntuk capai pelangi resort butuh waktu 90 menit jalan dermaga pantai mutiara kapal speedboat khusus pier r1 pantai mutiara bawa tumpang kesana letak 60 70 km pantai mutiara memang lumayan jauh jalan bayar lunas pulau pelangi bahari
15,Pasar Seni,Pusat Perbelanjaan,4.4,pasar seni rupa pusat rajin seni jadi wadah seniman bakat salur rajin seni milik seniman temu kolektor seni usaha saling informasi pasar produk milik diri awal tahun 1977 leta batu pertama bang ali sadikin gubernur pertama dki jakarta tepat bulan juli 1977 resmi gubernur h tjokropanolo tanggal 17 desember 1977 sejak resmi pasar seni sambut positif cinta seni pusat belanja
16,Jembatan Kota Intan,Budaya,4.3,jembatan kota intan jembatan tua indonesia bangun tahun 1628 perintah vereenigde oostindische compagnie voc masyarakat lebih familiar sebut kumpeni jembatan kini letak kali besar kawasan kota tua wilayah jakarta barat bawah kelola dinas pariwisata budaya provinsi dki jakarta budaya
17,Museum Fatahillah,Budaya,4.4,museum fatahillah milik nama resmi museum sejarah jakarta buah museum letak jalan taman fatahillah no 1 jakarta barat luas lebih 1 300 meter persegi nbangunan rupa balai kota batavia bahasa belanda stadhuis van batavia bangun tahun 1707 1710 atas perintah gubernur jendral joan van hoorn bangun rupa istana dam amsterdam diri atas bangun utama sayap timur barat bangun sanding bagai kantor ruang adil ruang bawah tanah pakai bagai penjara tanggal 30 maret 1974 bangun kemudian resmi bapak ali sadikin bagai museum sejarah jakarta budaya
18,Museum Bank Indonesia,Budaya,4.7,museum bank indonesia buah museum jakarta indonesia letak jl pintu besar utara no 3 jakarta barat depan stasiun beos kota tempat area bekas gedung bank indonesia kota rupa cagar budaya tinggal de javasche bank alir neo klasikal padu pengaruh lokal bangun pertama kali tahun 1828 npada tahun 1625 tempat pernah bangun buah gereja sederhana umat protestan tahun 1628 gereja bongkar tempat meriam besar puluh ribu tentara sultan agung serang batavia pertama kali museum saji informasi peran bank indonesia jalan sejarah bangsa mulai sejak datang bangsa barat nusantara hingga bentuk bank indonesia tahun 1953 bijak bank indonesia liput latar belakang dampak bijak bank indonesia masyarakat tahun 2005 saji kemas rupa manfaat teknologi modern multi media display elektronik panel statik televisi plasma diorama cipta nyaman unjung nikmat museum bank indonesia pula fakta koleksi benda sejarah masa bentuk bank indonesia masa raja nusantara upa koleksi uang numismatik tampil cara tarik nperesmian museum bank indonesia laku lalu tahap resmi tahap i mulai buka masyarakat soft opening tanggal 15 desember 2006 gubernur bank indonesia burhanuddin abdullah resmi tahap ii grand opening presiden ri susilo bambang yudhoyono tanggal 21 juli 2009 nmuseum bank indonesia buka tiap hari senin hari libur nasional budaya
19,Kidzania,Taman Hiburan,4.6,kidzania buah waralaba swasta meksiko upa pusat hibur keluarga operasi 23 lokasi mungkin anak laku kerja orang dewasa bayar kidzania kunjung lebih 31 juta unjung seluruh dunia sejak buka jadi salah satu merek hibur global paling cepat kembang dunia taman hibur
20,Museum Taman Prasasti,Budaya,4.5,museum taman prasasti buah museum cagar budaya tinggal masa kolonial belanda jalan tanah abang no 1 jakarta pusat museum milik koleksi prasasti nisan kuno miniatur makam khas 27 provinsi indonesia koleksi kereta jenazah antik museum luas 1 2 ha rupa museum buka tampil karya seni masa lampau canggih patung pahat kaligrafer sastrawan satu budaya
21,Museum Wayang,Budaya,4.5,museum wayang buah museum lokasi jalan pintu besar utara nomor 27 jakarta barat budaya
22,Masjid Istiqlal,Tempat Ibadah,4.7,masjid istiqlal arti harfiah masjid merdeka masjid nasional negara republik indonesia letak bekas taman wilhelmina timur laut lapang medan merdeka tengah diri monumen nasional monas pusat ibukota jakarta masjid rupa salah satu 10 masjid besar kapasitas dunia tampung lebih 200 000 jamaah seberang timur masjid diri gereja katedral jakarta ketua hari badan kelola masjid istiqlal bpmi sekaligus imam besar masjid istiqlal prof dr nasaruddin umar m a bangun masjid prakarsa presiden republik indonesia ir soekarno leta batu pertama bagai tanda mula bangun masjid istiqlal laku ir soekarno tanggal 24 agustus 1961 arsitek masjid istiqlal frederich silaban orang nasrani masjid milik gaya arsitektur modern dinding lantai lap marmer hias ornamen geometrik baja antikarat bangun utama masjid diri lima lantai satu lantai dasar bangun utama mahkota satu kubah besar diameter 45 meter topang 12 tiang besar menara tunggal setinggi total 96 66 meter julang sudut selatan selasar masjid masjid mampu tampung lebih 200 000 jamaah bagai aktivitas ibadah umat islam masjid bagai kantor bagai organisasi islam indonesia aktivitas sosial giat umum masjid jadi salah satu daya tarik wisata kenal jakarta banyak wisatawan kunjung umum wisatawan domestik samping wisatawan asing agama islam masyarakat non muslim dapat kunjung masjid dapat bekal informasi kena islam masjid istiqlal meski kunjung kaum non muslim batas damping pandu npada tiap hari besar islam ramadhan idul fitri idul adha tahun baru hijriyah maulid nabi muhammad isra mi raj presiden republik indonesia selalu giat agama masjid siar cara langsung lalu televisi nasional tvri televisi swasta tempat ibadah
23,Gereja Katedral,Tempat Ibadah,4.8,gereja katedral jakarta nama resmi gereja santa maria angkat surga bahasa jerman de kerk van onze lieve vrouwe ten hemelopneming bahasa inggris the church of our lady of the assumption buah gereja jakarta gedung gereja resmi 1901 bangun arsitektur neo gotik eropa arsitektur sangat lazim bangun gedung gereja beberapa abad lalu tempat ibadah
24,Museum Nasional,Budaya,4.6,museum nasional republik indonesia museum gajah buah museum arkeologi sejarah etnografi geografi letak jakarta pusat persis jalan merdeka barat 12 museum rupa museum pertama besar asia tenggara budaya
25,Pasar Tanah Abang,Pusat Perbelanjaan,4.0,pasar tanah abang pasar sabtu bangun yustinus vinck 30 agustus 1735 yustinus vinck diri pasar tanah abang pasar atas izin gubernur jenderal abraham patramini izin beri pasar tanah abang jual tekstil barang kelontong buka tiap hari sabtu itu pasar sebut pasar sabtu pasar mampu saing pasar senen welter vreden lebih dulu maju npada tahun 1740 jadi peristiwa geger pecinan bantai orang tionghoa rusa harta benda masuk pasar tanah abang diporakporandakan bakar tahun 1881 pasar tanah abang bangun tadi buka hari sabtu tambah hari rabu pasar tanah abang buka 2 kali minggu bangun pasar mula sangat sederhana diri dinding bambu papan atap rumbia 229 papan 139 petak bambu pasar tanah abang terus alami baik hingga akhir abad 19 lantai mulai keras pondasi adu tahun 1913 pasar tanah abang baik tahun 1926 perintah batavia bongkar pasar tanah abang ganti bangun permanen upa tiga los panjang tembok papan atap genteng kantor pasar atas bangun pasar mirip kandang burung latar parkir depan pasar jadi tempat parkir kuda tarik delman gerobak situ sedia kobak air cukup besar seberang jalan toko khusus jual dedak makan kuda beberapa puluh meter toko dedak buah gang kenal bagai gang madat tempat lokalisasi madat npada zaman duduk jepang pasar hampir fungsi jadi tempat gelandang npasar tanah abang makin kembang bangun stasiun tanah abang tempat sebut mulai bangun tempat masjid al makmur klenteng hok tek tjen sien usia pasar tanah abang tahun 1973 pasar tanah abang remaja ganti 4 bangun lantai empat alami kali bakar pertama tanggal 30 desember 1978 blok a lantai tiga timpa blok b tanggal 13 agustus 1979 tahun 1975 catat kios 4 351 buah 3 016 dagang pusat belanja
26,Pecinan Glodok,Pusat Perbelanjaan,4.3,kawasan glodok kenal bagai pusat dagang elektronik sendiri rupa bekas penjara glodok angker lokasi seberang glodok pancoran kawasan harco jadi rusuh mei 1998 kawasan sempat jadi pusat belanja elektronik wisatawan jepang taiwan hongkong pinangsia masyarakat temu produk lengkap rumah tangga bangun wisata belanja pecinan glodok pancoran rupa situs sejarah awal mula kota jakarta etnis tionghoa mukim bangun bisnis kebun tebu batavia mulai kembang pesat pusat belanja
27,Sea World,Taman Hiburan,4.5,seaworld indonesia buah miniatur pesona laut kompleks wisata pertama taman impi jaya ancol npada tanggal 2 oktober 1992 gubernur dki masa wiyogo atmodarminto letak batu pertama bangun seaworld indonesia tahun tanggal 3 juni 1994 seaworld indonesia mulai operasi area seaworld luas 3 hektare luas bangun utama 4 500 m2 isi bagai macam akuarium lorong antasena lorong bawah air pustaka museum terapi ikan dokter glow theatre komputer edukatif layar sentuh isi informasi bagai spesies seaworld macam fasilitas lengkap unjung tempat makan toko suvenir ruang serba taman hibur
28,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,4.5,kawasan wisata agro edukatif istana susu cibugary cibubur garden dairy rupa suatu kawasan agro terna sapi perah nuansa kebun taman wisata edukasi cibubur garden dairy cibugary rupa salah wisata edukasi mati siswa sekolah edukasi kenal terna sapi beri alam lupa siswa sekolah giat edukasi terlalu banyak senang sangat suka siswa sekolah wisata edukasi tambah ilmu alam cara langsung siswa sekolah paket wisata edukatif istana susu cibugary harga rp 35 000 rp 65 000 per orang harga sebut masuk beberapa botol susu pasteurisasi goodybag cibugary taman hibur
29,Wisata Kuliner Pecenongan,Pusat Perbelanjaan,5.0,pecenongan rupa salah satu surga kuliner jakarta pusat kenal sejak zaman jakarta nama kota batavia kawasan dagang kaki lima jaja kuliner pinggir jalan tahun tahun kawasan pecenongan makin ramai rumah makan rumah makan mulai bangun kawasan pecenongan cocok kalian wisata kuliner malam hari agam jenis kuliner buat kamu bingung coba mana lebih tak heran orang pernah coba pergi kuliner sini akan pusat belanja
30,Taman Menteng,Taman Hiburan,4.5,taman menteng buah taman lokasi kawasan menteng jakarta pusat taman tempat stadion menteng ntaman diri atas lahan luas 2 9 hektar milik koleksi 30 spesies tanam beda taman menteng milik agam fasilitas dukung taman main anak lapang futsal basket unik taman 44 sumur resap bantu serap air hujan tanah taman hibur
31,Wisata Alam Mangrove Angke,Cagar Alam,4.3,jangan anggap jakarta wisata alam langsung luncur jakarta utara tepat kamal muara jaring pantai indah kapuk daerah area wisata alam taman wisata mangrove jakarta sekarang beberapa tahun belakang tengah hits kawasan tiga area satu upa suaka margasatwa muara angke tutup umum hutan mangrove milik pemprov dki kurang tarik wisata lanjut taman wisata alam mangrove angke memang rupa area wisata bas konservasi mangrove cagar alam
32,Setu Babakan,Budaya,4.4,setu babakan danau babakan letak srengseng sawah camat jagakarsa kotamadya jakarta selatan indonesia dekat depok fungsi bagai pusat kampung budaya betawi suatu area lestari waris budaya jakarta budaya asli betawi nperkampungan budaya betawi diri tanggal 18 agustus 2000 lalu surat putus gubernur dki nomor 92 tahun 2000 keluar gubernur dki jakarta waktu sutiyoso nsitu babakan rupa danau buat area 30 hektare 79 akre 1 5 meter mana air asal sungai ciliwung bagai tempat wisata alternatif warga unjung ntaman tanam agam pohon buah mangga palem melinjo rambutan jambu pandan kecapi jamblang krendang gun nangka cimpedak nam nam jengkol nbanyak kuliner khas betawi sini kerak telor toge goreng arum manis rujak bebek soto betawi es potong es duren bir pletok nasi uduk nasi ulam lontong sayur nwisata budaya saji laim rumah khas betawi jadi 3 macam pertama rumah betawi gudang kandang rumah betawi kebaya bapang tiga rumah joglo hampir rupa rumah khas yogyakarta nkeseniannya upa lenong tari topeng tanjidor marawis gambang kromong tari lenggang nyai tari narojeng nupacara adat kampung betawi setu babakan penganten sunat pindah rumah khatam qur an nujuh bulan nmayoritas duduk setu babakan betawi program pemda dki baik sarana prasarana akomodasi butuh ruang buka hijau area resap air setu babakan benah diri dukung penuh pemda dki nfungsi setu bukan tempat lestari budaya betawi makin gerus zaman guna bagai tempat alternatif rekreasi lokasi selatan jakarta fungsi utama bagai tampung air resap selatan jakarta budaya
33,Taman Suropati,Taman Hiburan,4.6,taman suropati awal nama burgemeester bisschopplein nama buah taman jakarta awal nama taman ambil nama wali kota batavia pertama g j bisshop 1916 1920 taman rupa pusat kawasan menteng tepat temu tiga jalan utama menteng boulevard jalan teuku umar orange boulevard jalan diponegoro nassau boulevard jalan imam bonjol lapang kini sebut bagai taman suropati sejak tahun 1920 ganti lapang bundar luas rencana moojen taman suropati sebut bagai titik nol republik indonesia jadi taman rindang sejak beberapa tahun lalu hias patung karya patung negara diri himpun bangsa asia tenggara taman hibur
34,Pasar Taman Puring,Pusat Perbelanjaan,4.4,taman puring bukan taman cara harfiah sejak eks tahun 1960 silam taman puring buah pasar lama tahun pasar sempat jadi pasar gelap alias pasar barang ilegal tahun 1980 1990an pasar makin jauh masyarakat jadi sentra barang hasil tindak kriminal sejak bakar 2002 pasar taman puring perlahan benah diri hingga sekarang jadi destinasi belanja akhir pekan favorit warga jakarta ratus kios sepatu pria mulai sepatu kulit sepatu gunung sepatu futsal hingga sepatu gaul khas anak muda agam merk mulai adidas caterpillar nike karrimor vans hingga converse sedia bagai model warna pusat belanja
35,Grand Indonesia Mall,Pusat Perbelanjaan,4.7,grand indonesia rupa mal jakarta mal buka tahun 2007 presiden susilo bambang yudhoyono tahun 2007 hotel indonesia alami pugar lanjut buka hotel kelola grup kempinski nama ganti jadi hotel indonesia kempinski pusat belanja
36,Skyrink - Mall Taman Anggrek,Taman Hiburan,4.5,salah satu arena ice skating jakarta ice skating taman anggrek area ice skating taman anggrek buat luas 1 248 meter persegi ice skating megah indonesia taman anggrek megah indonesia megah asia tidak heran banyak sekali unjung datang taman hibur
37,Bumi Perkemahan Cibubur,Taman Hiburan,4.5,bumi kemah graha wisata pramuka cibubur buperta cibubur kawasan kemah cibubur ciracas jakarta timur kawasan milik luas 210 hektar kali jadi lokasi laksana jambore nasional sejak tahun 1973 buperta cibubur bangun kawasan rupa hutan karet pihak kelola kerja sama tni ad tni au kelola buperta cibubur buperta cibubur akses terminal kampung rambutan angkut umum jurus kranggan mekarsari jonggol taman hibur
38,Istana Negara Republik Indonesia,Budaya,4.6,istana negara rupa pusat giat perintah negara banyak giat sifat negara gelar istana negara giat lantik jabat penting negara maupun buka kongres sifat nasional internasional istana negara fungsi lebih fokus giat resmi presiden bagai kantor presiden republik indonesia lansir situs sekretaris negara sesneg istana negara awal bagai diam pribadi warga belanda j a van braam budaya
39,Museum Macan (Modern and Contemporary Art in Nusantara),Budaya,4.5,museum seni modern kontemporer nusantara museum macan buah museum seni kebon jeruk jakarta indonesia museum rupa pertama indonesia milik koleksi seni modern kontemporer indonesia internasional budaya
40,Galeri Nasional Indonesia,Budaya,4.6,galeri nasional indonesia bahasa inggris national gallery of indonesia buah lembaga budaya negara bagai museum seni rupa modern kontemporer sini gedung fungsi bagai tempat pamer helat seni rupa indonesia mancanegara gedung rupa institusi milik perintah bawah menteri didik budaya fungsi galeri nasional indonesia laksana kaji kumpul registrasi awat aman pamer mitra layan edukasi publikasi karya seni rupa lalu fungsi utama lindung kembang manfaat asset seni seni rupa bagai fasilitas didik budaya galeri nasional alamat jalan medan merdeka timur no 14 jakarta pusat budaya
41,Museum Bahari Jakarta,Budaya,4.4,museum bahari museum simpan koleksi hubung bahari nelayan bangsa indonesia sabang hingga merauke lokasi seberang labuh sunda kelapa museum salah satu delapan museum bawah awas dinas budaya museum provinsi daerah khusus ibu kota jakarta budaya
42,Museum Seni Rupa dan Kramik,Budaya,4.4,museum seni rupa keramik indonesia museum seni rupa keramik buah museum jakarta indonesia museum dedikasi khusus tampil seni rupa tradisional keramik indonesia museum letak sisi timur lapang fatahillah dekat museum sejarah jakarta museum wayang budaya
43,The Escape Hunt,Taman Hiburan,4.4,escape hunt salah satu tempat rekreasi lokasi letak jakarta selatan tempat kamu peran bagai orang detektif buah ruang kunci beri waktu 1 jam pecah teka teki perlu khawatir takut sendiri sini kamu ajak hingga 4 teman satu ruang sama pecah kasus sama tarik sekali bukan pertama kali datang tempat kamu tuntun isi data formulir sedia beri briefing pandu game kena jalan cerita tema kasus kamu taman hibur
44,Monumen Selamat Datang,Budaya,4.7,monumen selamat datang buah monumen letak tengah bundar hotel indonesia jakarta indonesia monumen upa patung pasang manusia sedang genggam bunga lambai tangan patung sebut hadap utara arti sambut orang datang arah monumen nasional budaya
45,Jakarta Aquarium dan Safari,Taman Hiburan,4.6,unjung seaworld ancol mungkin asing seru saksi biota laut puas unjung coba unjung wisata satwa laut unik jakarta aquarium jakarta aquarium tempat areal luas 7000 m2 tawar atraksi wisata laut modern hibur edukatif meski luas seaworld ancol taman rekreasi tawar wahana atraksi tak kalah tarik taman hibur
46,Pulau Semak Daun,Bahari,4.0,pulau semak daun rupa salah satu pulau letak gugus pulau ribu cara administratif pulau masuk wilayah kabupaten pulau ribu provinsi dki jakarta bagai daerah tangkar penyu sisik pantai nyaman renang pantai bersih landai pasir putih bebas bulu babi daerah bagus selam snorkeling mula letak jauh pulau pramuka bahari
47,Taman Situ Lembang,Taman Hiburan,4.5,taman situ lembang buah taman kota letak pusat jakarta situ arti danau payau sedang lembang nama jalan dekat taman sebut ntaman rupa salah satu taman tua jakarta milik danau kecil air asal sumber air alam taman letak fasilitas arena pancing trek lari arena main anak taman situ lembang keliling rumah kawasan elite menteng taman hibur
48,Taman Ismail Marzuki,Budaya,4.6,pusat seni jakarta taman ismail marzuki populer sebut taman ismail marzuki tim rupa buah pusat seni budaya lokasi jalan cikini raya 73 jakarta pusat sini letak institut seni jakarta planetarium jakarta tim milik enam teater modern balai pamer galeri gedung arsip bioskop acara seni budaya tunjuk cara rutin pusat seni masuk mentas drama tari wayang musik baca puisi pamer lukis tunjuk film bagai jenis seni tradisional kontemporer baik rupa tradisi asli indonesia maupun luar negeri temu tempat nama pusat seni asal nama cipta lagu kenal indonesia ismail marzuki budaya
49,Galeri Indonesia Kaya,Budaya,4.8,galeri indonesia kaya singkat gik ruang publik madu konsep edukasi digital tuju kenal apresiasi seni budaya indonesia khusus generasi muda tempat grand indonesia jakarta indonesia galeri indonesia kaya gagas bangun jadi ruang edutainment budaya bas teknologi digital dekat salur kreativitas ekspres generasi muda lingkup tradisi budaya nusantara tempat milik auditorium untuk masyarakat butuh tempat karya budaya
50,Museum Joang 45,Budaya,4.0,gedung joang 45 museum joang 45 salah satu museum jakarta kelola laksana dinas pariwisata budaya provinsi dki jakarta museum letak jalan menteng raya 31 lurah kebon sirih camat menteng jakarta pusat museum resmi tahun 1974 presiden soeharto laku renovasi budaya
51,Jakarta Planetarium,Taman Hiburan,4.1,planetarium observatorium jakarta satu tiga wahana simulasi langit indonesia kuta kalimantan timur surabaya jawa timur planetarium tua letak taman ismail marzuki jakarta planetarium jakarta rupa sarana wisata didik saji tunjuk aga simulasi bintang benda langit unjung ajak embara jagat raya paham konsepsi alam semesta lalu acara acara planetarium jakarta diri tahun 1964 prakarsa presiden soekarno serah perintah provinsi dki jakarta 1969 tempat sedia ruang pamer benda benda angkasa suguh bagai foto terang lengkap bagai bentuk galaksi teori bentuk galaksi kenal tokoh balik muncul teori taman hibur
52,Kampung Cina,Budaya,4.5,kampung china huni kawasan dagang cibubur jakarta timur wilayah diri berkat kerja sama perintah kota jakarta timur usaha asing sulap area 300 hektare kawasan wisata cibubur jadi kota wisata mandiri town center kutip buku ensiklopedia jakarta kampung mulai operasi tanggal 14 september 2002 bangun nuansa alam pernak pernik jual bau seni china semua produk jajah asal negeri tirai bambu sebut wilayah jadi tuju wisata tiap raya hari raya imlek budaya
53,Rumah Sipitung,Budaya,4.5,rumah si pitung marunda jakarta utara indonesia rupa satu sedikit rumah panggung betawi sisa rumah panggung rupa representasi huni panggung masyarakat betawi tinggal wilayah pesisir rumah jadi museum masuk cagar budaya tahu kapan persis rumah si pitung diri kira bangun sebut bangun abad 20 rumah panggung sering sebut rumah tinggi marunda mirip rumah tradisional suku bugis rumah tadi milik haji saipudin orang saudagar kaya bandar ikan asal makassar sumber kata haji saipudin juragan sero konglomerat kapal haji saipuddin yakin rupa sahabat erat si pitung pitung tengara beberapa kali singgah rumah kira dasawarsa 1890 an singgah si pitung akhir kali rangka sembunyi kejar tentara belanda tuduh rampok perintah dki jakarta pertama kali pugar rumah panggung topang 40 buah tiang tahun 1972 tahun sama bangun beli pemprov dki jakarta turun ahli waris h saipudin bangun sebut kini jadi museum masuk cagar budaya dasar sk gubernur no 475 tahun 1993 sk menteri no 140 m 1998 lembaga beri nama rumah asli betawi pesisir bagai rumah si pitung museum nasional budaya
54,Taman Agrowisata Cilangkap,Taman Hiburan,4.2,taman luas 19 hektar milik perintah provinsi pemprov dki jakarta kelola dinas tani hutan dki taman wisata agro cilangkap letak jalan raya cilangkap no 45 jakarta timur taman asa permai tumbuh aneka jenis pohon rindang sejuk udara jauh polusi asap kendara motor nikmat taman jadi alternatif destinasi wisata warga domisili kawasan sebut taman wisata agro cilangkap lengkap beberapa fasilitas arena olahraga jogging track arena main anak sobat ayojakarta milik hobi pancing area taman milik danau biasa jadi area pancing taman hibur
55,Klenteng Jin De Yuan,Tempat Ibadah,4.5,kelenteng kim tek le lebih kenal kelenteng jin de yuan bangun sejak 1650 kelenteng sebut bagai tua jakarta diri orang letnan tionghoa kwee hoen awal nama koan im teng jin de yuan kenal bagai salah satu empat kelenteng besar kelola kong koan dewan tionghoa kelenteng goenoeng sari kelenteng toa peh kong kelenteng jin de yuan sendiri kelenteng hian thian shang tanah tandjoeng kini musnah tempat ibadah
56,Pantai Ancol,Bahari,4.4,pantai ancol rupa kawasan wisata rupa destinasi wisata pantai kota jakarta wisatawan nikmat suasana segar pantai lagoon festival indah beach pool carnaval danau impi libur alam buka percaya milik efek tenang senang panjang garis pantai kurang lebih 6 5 km jadi tempat bagai aktivitas wisata wisata pantai rupa bumd hasil asli daerah besar provinsi dki jakarta bahari
57,Taman Lapangan Banteng,Taman Hiburan,4.7,lapang banteng dulu nama waterlooplein bahasa belanda plein lapang suatu lapang letak weltevreden batavia jauh gereja katedral jakarta masa lapang banteng kenal sebut lapang singa 1 tengah pancang tugu ingat menang tempur waterloo patung singa atas tempur waterloo sebut jadi tanggal 18 juni 1815 dekat kota waterloo 15 km arah selatan ibu kota belgia brussels tempur rupa tempur akhir napoleon lawan pasu gabung inggris belanda jerman tempur catat sejarah bagai tutup ratus hari sejak lari napoleon asing pulau elba sedang tugu singa sebut diri zaman perintah duduk tentara jepang 1942 1945 indonesia merdeka nama ganti jadi lapang banteng mungkin zaman tempat kini jadi lapang huni bagai macam satwa liar macan kijang banteng waktu j p coen bangun kota batavia dekat muara ciliwung lapang sebut keliling upa hutan belantara paya paya belah timur jalan lapang banteng timur tedapat kantor satlantas polres jakarta pusat taman hibur
58,Taman Ayodya,Taman Hiburan,4.4,taman ayodya dulu nama taman barito buah taman kota jakarta selatan taman lokasi atas lahan luas 7 500 m2 lengkap kolam buat luas 1 500 m2 tengah ntaman ayodya lengkap jalur pijak kursi gazebo pendopo kamar mandi trek jogging dekat taman hotel pasar hotel gran mahakam plaza blok m pasar burung barito mal kebayoran baru pasar taman puring ntaman bahan taman langsat menyebrang jalan raya taman hibur
59,Museum Sumpah Pemuda,Budaya,4.7,museum sumpah pemuda buah museum sejarah juang merdeka republik indonesia jalan kramat raya no 106 jakarta pusat kelola menteri didik budaya republik indonesia museum buka umum tiap hari selasa jumat pukul 08 00 hingga 16 00 utc 7 tiap sabtu minggu pukul 08 00 16 00 wib tiap hari senin hari besar nasional museum tutup umum nmuseum milik koleksi foto benda hubung sejarah sumpah pemuda 1928 giat gera nasional pemuda indonesia museum sumpah pemuda diri dasar sk gubernur dki jakarta tahun 1972 jadi benda cagar budaya nasional budaya
